Old_ID,new_IDFULL
98025423,98203500-rn212
98025468,98204980-unknown-10267
98025470,98204981-unknown-9674
98025570,98202787-patl1
98025595,98200979-dpolq
98025706,98204839-ulk2
98025716,98204982-unknown-10887
98025722,98200523-ccd81
98025733,98208174-vps18
98025799,98201971-lgsn
98025833,98201745-ilkap
98025847,98203781-s22a5-18
98025855,98204983-unknown-11010
98025910,98202625-nop9
98025923,98203798-s26a5
98025936,98200927-dhtk1
98025942,98200277-aq12a
98025969,98208649-zn598
98025996,98201060-edf1
98026042,98200800-csn7a
98026062,98203183-rbbp6
98026137,98201377-gdc
98026177,98200090-acha7-6
98026206,98200963-dock1
98026215,98200201-agrl2-5
98026216,98204984-unknown-9675
98026247,98208283-zfr2-4
98026253,98201421-glra1-7
98026255,98200522-ccd77
98026321,98203471-rm49
98026340,98208110-ush2a-3
98026379,98200784-crel2
98026397,98202957-poc1a
98026402,98202564-nduf4
98026418,98201955-lanc3
98026442,98201254-flot1
98026456,98200172-adcy9
98026490,98202914-piwi-2
98026597,98200240-ankz1
98026606,98204985-unknown-11232
98026607,98201363-gbrg2-5
98026612,98204986-unknown-9676
98026786,98203535-rpn2
98026819,98202298-map4
98026842,98202788-pax5-2
98026870,98201162-erip6
98026875,98203835-sacs-17
98026945,98200611-cfa45
98026955,98203217-reg1a
98026971,98203411-rl5-5
98027145,98204987-unknown-12582
98027178,98202551-ncs1
98027184,98201035-eapp
98027195,98201805-k0930
98027223,98201466-gphra
98027326,98208286-zfy26
98027344,98204988-unknown-11547
98027350,98204989-unknown-10845
98027392,98204990-unknown-11046
98027431,98204567-tri37-2
98027450,98208137-vgfr2
98027536,98208138-vglu2
98027549,98200808-ct2nl
98027658,98203138-ra51c-3
98027677,98203655-rt22
98027748,98201596-hbs1l
98027751,98204991-unknown-11206
98027836,98200933-dido1
98027868,98204222-syt7-7
98027876,98204992-unknown-9865
98027887,98201386-gfpt2
98027937,98203320-rl15-3
98027953,98202925-plap
98028026,98204993-unknown-10612
98028035,98204994-unknown-12566
98028047,98203797-s26a3
98028072,98201040-ece2-3
98028182,98202008-lmna
98028205,98203483-rn165
98028259,98204248-tanc2
98028269,98201126-enpl
98028414,98200813-ctcf
98028427,98200359-avl9
98028433,98203904-senp1
98028480,98204995-unknown-9807
98028483,98200395-bptf
98028609,98204506-tp8l3
98028700,98200397-brca1-2
98028702,98200390-bmpr2
98028716,98201190-f120c
98028729,98204996-unknown-11172
98028772,98200107-acsf2-11
98029091,98200164-ada10-3
98029129,98204688-trip4
98029145,98202616-nol10
98029158,98200712-cog5
98029165,98200630-chd7
98029225,98204997-unknown-9677
98029245,98204168-stab2
98029474,98200254-anxa2
98029579,98200282-arel1
98029634,98202494-muc19-5
98029649,98202369-mgat3-2
98029671,98200443-calm1-55
98029675,98204998-unknown-9678
98029700,98204999-unknown-12749
98029744,98202280-ma2a2
98029760,98203167-radi
98030013,98202723-ovol1-12
98030049,98201620-hgnat
98030068,98201605-helz
98030072,98200478-caspa
98030096,98208804-zxdb
98030101,98202147-lrp1b-19
98030117,98205000-unknown-9679
98030167,98204252-tba1a-3
98030193,98200444-calm1-61
98030196,98203120-pyc
98030260,98204261-tba1c-2
98030415,98204834-ufc1
98030422,98205001-unknown-10815
98030427,98201467-gpi8
98030460,98202626-nostn
98030488,98200839-cybp
98030495,98201682-hsf1
98030556,98200711-cog4
98030589,98200070-acatn
98030612,98202148-lrp1b-35
98030646,98205002-unknown-12445
98030706,98205003-unknown-11861
98030749,98205004-unknown-11244
98030763,98200280-araf
98030778,98205005-unknown-11611
98030832,98200559-cdk20
98030889,98204225-syyc
98030924,98202360-meth-2
98031035,98205006-unknown-9680
98031052,98202801-pcmd1
98031058,98200403-brs3-3
98031095,98200678-clp1
98031125,98202525-naa11
98031129,98201765-int2
98031182,98202454-mrp7-7
98031201,98202813-pdzd4-2
98031221,98208186-wdr11
98031239,98202277-m3k3-2
98031266,98205007-unknown-10369
98031277,98205008-unknown-11102
98031292,98202078-lr2bp
98031334,98205009-unknown-11073
98031407,98202093-lrp1-13
98031464,98200376-bbs5
98031465,98200568-ce192
98031508,98208119-va0d1
98031539,98202326-mdc1
98031574,98203460-rm13
98031593,98202261-lsg1
98031619,98202683-odo2
98031657,98201586-hacd3
98031693,98204627-tri56-10
98031799,98204710-trpm8-4
98031915,98201618-hfm1
98031933,98200427-c2cd3
98031941,98201436-gmpr1
98032055,98202366-mfsd5
98032164,98201784-ita7
98032245,98202005-lmbl3
98032289,98204939-unknown-11248
98032322,98205010-unknown-10614
98032500,98203965-sfi1
98032514,98200370-bap31
98032580,98201770-ipo11
98032630,98204737-ttc28
98032656,98203118-pus3
98032703,98200062-abhd3
98032795,98208231-ytdc2
98032820,98201432-glucm-4
98032888,98202784-parp2
98032916,98204500-tonsl
98032937,98203146-rab23-2
98033037,98202905-pim3-2
98033130,98201718-if172
98033133,98203233-rgmb
98033186,98203185-rbm12
98033203,98204730-tsr1
98033207,98205011-unknown-9681
98033374,98203845-samd8-2
98033375,98203825-s39ae
98033376,98205012-unknown-11785
98033394,98202596-nip7
98033416,98200613-cfa61
98033419,98201036-ece1-8
98033448,98200364-b3gt1-4
98033465,98204020-smg8
98033469,98200528-ccm2-2
98033492,98202205-lrp2-3
98033493,98204693-trm5
98033527,98201952-lamp2-2
98033547,98204165-st7
98033560,98203525-rpap1-2
98033601,98203461-rm16
98033624,98200786-cris2-3
98033688,98201010-dydc1
98033705,98204748-ttl12
98033739,98202548-ncoa5
98033793,98200069-acadv
98033813,98203925-setmr-48
98033828,98200766-cpeb1-4
98033845,98203681-s17a5-22
98033950,98200051-abcb6-11
98033964,98208670-zn622
98034055,98202504-mut7
98034096,98200169-adas
98034108,98208268-zdhc3
98034109,98202578-nemp1
98034119,98202776-paqr1-2
98034125,98201155-erd22
98034140,98208287-zgpat
98034154,98205013-unknown-9682
98034158,98208220-xpp1
98034266,98200097-ache-1
98034279,98201820-kat5
98034300,98200426-c2ail
98034398,98204280-tbb3-6
98034414,98205014-unknown-9683
98034446,98201371-gch1
98034456,98201158-ergi1
98034457,98202903-pigw-3
98034475,98205015-unknown-11786
98034485,98200535-cd109-2
98034610,98202378-mica3-2
98034615,98204775-tyw2
98034619,98200334-atg13
98034659,98204455-titin-15
98034687,98201774-iqch
98034708,98200236-ankf1
98034723,98201758-inf2-3
98034750,98205016-unknown-10281
98034876,98204480-tmco3
98034912,98202402-mmp25
98035087,98204547-tri18-3
98035103,98205017-unknown-9684
98035185,98205018-unknown-12199
98035258,98201204-face1
98035308,98208257-zc3h1
98035345,98203065-prr5l
98035376,98200085-acha6-16
98035384,98203682-s17a5-7
98035425,98200858-dapk1
98035487,98201772-ipo9
98035526,98203657-rt28
98035586,98202640-nprl2
98035608,98203658-rt30
98035631,98203104-ptov1
98035639,98205019-unknown-10596
98035668,98202527-nac3-5
98035684,98201114-elys
98035702,98204655-trim1-2
98035750,98203508-rnh2b
98035773,98200316-ash2l
98035912,98202586-nfkb2-4
98035941,98201022-dysf-3
98036029,98201969-lfg1-2
98036040,98202092-lrig3
98036073,98202258-lrrd1
98036082,98202298-map4
98036083,98200108-acsf2-9
98036085,98205020-unknown-10997
98036095,98200479-casz1
98036200,98205021-unknown-11712
98036204,98203064-prps2
98036321,98201899-kif23
98036326,98203983-sia7e-3
98036331,98201265-fntb
98036376,98200710-cog3
98036385,98200191-afg32
98036425,98202684-odpb
98036456,98205022-unknown-10921
98036471,98208221-xpp3
98036482,98205023-unknown-10745
98036487,98205024-unknown-10359
98036514,98203898-sdcg8
98036553,98205025-unknown-10074
98036574,98203207-rdh12-5
98036578,98204568-tri39-13
98036644,98203854-sc24a-3
98036646,98205026-unknown-11723
98036717,98200869-dca13
98036720,98202403-mms19
98036765,98200853-daa10
98036771,98200825-cwc15
98036980,98204283-tbb4b-28
98037012,98201277-frda
98037023,98203199-rbsk
98037037,98201882-kdm2b
98037079,98204628-tri56-36
98037084,98200482-catl1-9
98037124,98200396-brap
98037158,98203897-sdc1-2
98037212,98200293-arhgh
98037229,98200934-dim1
98037374,98204355-tert
98037384,98202519-myo7b
98037416,98203889-scpdl-5
98037439,98202954-pnpt1
98037459,98202325-md2l1
98037467,98208380-zn235-83
98037510,98200705-cntp2
98037526,98204585-tri46-20
98037572,98201169-esr1
98037587,98203221-rere
98037600,98202653-nsun6
98037690,98205027-unknown-9685
98037721,98200019-5ht2a-3
98037750,98205028-unknown-11040
98037807,98204538-trdmt-3
98037814,98204558-tri33-23
98037822,98203807-s35b3-2
98037851,98203170-ranb3
98037869,98202902-pigv
98037889,98203390-rl36
98037933,98205029-unknown-9686
98038005,98202898-pigm
98038024,98208299-zmy10-2
98038036,98202710-oscp1
98038052,98202014-lorf2-63
98038123,98201099-eif3i-2
98038183,98205030-unknown-10316
98038186,98203964-sf3b4
98038193,98204468-tm145-2
98038206,98202366-mfsd5
98038210,98201609-henmt
98038226,98200173-adda
98038233,98155491-hacl1-2
98038264,98202470-mspd2-9
98038294,98202868-phb1-3
98038349,98202666-numb
98038434,98205031-unknown-11322
98038505,98205032-unknown-10597
98038506,98203470-rm45
98038513,98203241-rgs8-2
98038515,98202613-nntm
98038549,98204696-trnt1
98038672,98200339-atg9a
98038683,98205033-unknown-9949
98038974,98201637-hnrh2
98039000,98203846-sanbr
98039024,98203826-s40a1
98039045,98205034-unknown-10825
98039047,98205035-unknown-9687
98039128,98203523-rorg
98039151,98201186-ezh1
98039178,98205036-unknown-10715
98039194,98202638-npl4-2
98039263,98202423-mp2k7
98039288,98203085-psf3
98039341,98201058-edc3
98039351,98202324-md12l
98039383,98200606-cf136
98039403,98202439-mrp1-15
98039460,98201156-erf1-2
98039474,98200742-cp2c8-16
98039600,98204268-tba4a
